     4	  200	bolo_geom_174240.dat	 4-May-2018 23:01:07
 m	m	m	m
 RSTART	ZSTART	  REND	  ZEND
  2.341E+00	 8.226E-01	 1.512E+00	 1.111E+00
  2.341E+00	 8.226E-01	 1.589E+00	 1.096E+00
  2.319E+00	-7.725E-01	 1.584E+00	-1.250E+00
  2.319E+00	-7.725E-01	 1.552E+00	-1.250E+00
  2.319E+00	-7.725E-01	 1.519E+00	-1.250E+00
  2.319E+00	-7.725E-01	 1.484E+00	-1.250E+00
  2.319E+00	-7.725E-01	 1.446E+00	-1.250E+00
  2.319E+00	-7.725E-01	 1.405E+00	-1.250E+00
  2.319E+00	-7.725E-01	 1.147E+00	-1.357E+00
  2.319E+00	-7.725E-01	 1.129E+00	-1.338E+00
  2.319E+00	-7.725E-01	 1.110E+00	-1.319E+00
  2.319E+00	-7.725E-01	 1.092E+00	-1.300E+00
  2.319E+00	-7.725E-01	 1.073E+00	-1.281E+00
  2.319E+00	-7.725E-01	 1.053E+00	-1.261E+00
  2.319E+00	-7.725E-01	 1.034E+00	-1.241E+00
  2.319E+00	-7.725E-01	 1.016E+00	-1.220E+00
  2.319E+00	-7.725E-01	 1.016E+00	-1.192E+00
  2.319E+00	-7.725E-01	 1.016E+00	-1.165E+00
  2.319E+00	-7.725E-01	 1.016E+00	-1.139E+00
  2.319E+00	-7.725E-01	 1.016E+00	-1.112E+00
  2.319E+00	-7.725E-01	 1.016E+00	-1.086E+00
  2.319E+00	-7.725E-01	 1.016E+00	-1.060E+00
  2.319E+00	-7.725E-01	 1.016E+00	-1.034E+00
  2.319E+00	-7.725E-01	 1.016E+00	-1.009E+00
  2.319E+00	-7.725E-01	 1.016E+00	-9.837E-01
  2.319E+00	-7.725E-01	 1.016E+00	-9.585E-01
  2.319E+00	-7.725E-01	 1.016E+00	-9.335E-01
  2.319E+00	-7.725E-01	 1.016E+00	-9.085E-01
  2.319E+00	-7.725E-01	 1.016E+00	-8.837E-01
  2.319E+00	-7.725E-01	 1.016E+00	-8.590E-01
  2.319E+00	-7.725E-01	 1.016E+00	-8.343E-01
  2.319E+00	-7.725E-01	 1.016E+00	-8.097E-01
  2.319E+00	-7.725E-01	 1.016E+00	-7.851E-01
  2.319E+00	-7.725E-01	 1.016E+00	-7.605E-01
  2.319E+00	-7.725E-01	 1.016E+00	-7.359E-01
  2.319E+00	-7.725E-01	 1.016E+00	-7.112E-01
  2.319E+00	-7.725E-01	 1.016E+00	-6.866E-01
  2.319E+00	-7.725E-01	 1.016E+00	-6.618E-01
  2.319E+00	-7.725E-01	 1.016E+00	-6.370E-01
  2.319E+00	-7.725E-01	 1.016E+00	-6.121E-01
  2.319E+00	-7.725E-01	 1.016E+00	-5.871E-01
  2.319E+00	-7.725E-01	 1.016E+00	-5.619E-01
  2.319E+00	-7.725E-01	 1.016E+00	-5.366E-01
  2.319E+00	-7.725E-01	 1.016E+00	-5.111E-01
  2.319E+00	-7.725E-01	 1.016E+00	-4.854E-01
  2.319E+00	-7.725E-01	 1.016E+00	-4.595E-01
  2.319E+00	-7.725E-01	 1.016E+00	-4.333E-01
  2.319E+00	-7.725E-01	 1.016E+00	-4.070E-01
  2.319E+00	-7.725E-01	 1.016E+00	-3.803E-01
  2.319E+00	-7.725E-01	 1.016E+00	-3.533E-01
  2.319E+00	-7.725E-01	 1.016E+00	-3.260E-01
  2.319E+00	-7.725E-01	 1.016E+00	-2.983E-01
  2.349E+00	-6.688E-01	 1.016E+00	-7.518E-02
  2.349E+00	-6.688E-01	 1.016E+00	-4.418E-02
  2.349E+00	-6.688E-01	 1.016E+00	-1.262E-02
  2.349E+00	-6.688E-01	 1.016E+00	 1.955E-02
  2.349E+00	-6.688E-01	 1.016E+00	 5.236E-02
  2.349E+00	-6.688E-01	 1.016E+00	 8.586E-02
  2.349E+00	-6.688E-01	 1.016E+00	 1.201E-01
  2.349E+00	-6.688E-01	 1.016E+00	 1.551E-01
  2.349E+00	-6.688E-01	 1.016E+00	 1.910E-01
  2.349E+00	-6.688E-01	 1.016E+00	 2.278E-01
  2.349E+00	-6.688E-01	 1.016E+00	 2.655E-01
  2.349E+00	-6.688E-01	 1.016E+00	 3.043E-01
  2.349E+00	-6.688E-01	 1.016E+00	 3.441E-01
  2.349E+00	-6.688E-01	 1.016E+00	 3.852E-01
  2.349E+00	-6.688E-01	 1.016E+00	 4.275E-01
  2.349E+00	-6.688E-01	 1.016E+00	 4.712E-01
  2.349E+00	-6.688E-01	 1.016E+00	 5.163E-01
  2.349E+00	-6.688E-01	 1.016E+00	 5.630E-01
  2.349E+00	-6.688E-01	 1.016E+00	 6.114E-01
  2.349E+00	-6.688E-01	 1.016E+00	 6.617E-01
  2.349E+00	-6.688E-01	 1.016E+00	 7.139E-01
  2.349E+00	-6.688E-01	 1.016E+00	 7.682E-01
